Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,009500,1880,22.1,22.8,20.6,19.2,17.5,14.7,15.1,15.2,16.2,16.2,18.0,20.8,18.2
IDCJAC0002,009500,1881,20.1,22.2,22.2,19.6,17.1,14.4,15.3,15.5,16.4,16.1,18.7,20.7,18.2
IDCJAC0002,009500,1882,20.2,22.1,20.1,18.8,16.3,14.6,14.4,14.9,16.4,17.3,17.8,20.8,17.8
IDCJAC0002,009500,1883,20.7,20.5,19.9,20.1,17.3,15.9,14.5,14.1,14.4,16.5,18.2,21.9,17.8
IDCJAC0002,009500,1884,20.9,21.5,21.2,18.6,16.6,14.2,13.8,16.1,16.0,17.3,19.5,18.7,17.9
IDCJAC0002,009500,1885,21.5,20.4,20.3,19.1,15.7,14.6,14.8,14.3,15.1,17.0,18.8,21.6,17.8
IDCJAC0002,009500,1886,20.3,21.1,21.1,19.2,16.8,15.8,13.6,13.3,16.4,15.5,18.7,19.6,17.6
IDCJAC0002,009500,1887,19.7,19.8,18.6,18.1,15.9,13.3,13.8,14.3,15.1,17.6,19.2,22.4,17.3
IDCJAC0002,009500,1888,21.7,21.4,22.2,19.3,16.8,14.7,13.9,14.2,15.3,17.7,21.8,22.4,18.4
IDCJAC0002,009500,1889,22.7,21.8,20.8,19.5,15.9,13.4,12.7,13.0,13.9,15.3,17.1,19.5,17.1
IDCJAC0002,009500,1890,20.6,20.8,19.9,19.0,16.8,13.9,12.4,13.1,14.6,14.8,18.0,19.7,17.0
IDCJAC0002,009500,1891,19.7,21.2,21.7,20.6,17.7,14.9,14.9,15.3,15.4,16.4,20.7,21.4,18.3
IDCJAC0002,009500,1892,21.3,23.0,20.3,20.3,18.2,15.4,15.2,15.4,16.9,16.9,19.5,22.8,18.8
IDCJAC0002,009500,1893,21.7,22.4,22.3,19.5,17.5,15.0,15.6,15.9,17.2,18.2,19.3,22.2,18.9
IDCJAC0002,009500,1894,22.5,22.2,22.1,21.9,18.4,17.1,15.7,16.4,17.5,21.1,19.8,22.5,19.8
IDCJAC0002,009500,1895,21.9,20.9,22.9,19.2,19.3,17.4,15.8,17.9,17.5,18.1,21.3,23.4,19.6
IDCJAC0002,009500,1896,24.4,23.0,21.8,20.9,19.4,18.3,16.0,17.6,17.8,20.8,20.3,21.3,20.1
IDCJAC0002,009500,1897,22.6,22.1,22.0,21.0,18.5,16.6,17.1,16.3,18.4,18.2,21.1,21.6,19.6
IDCJAC0002,009500,1898,22.9,23.5,22.7,21.1,19.7,16.1,16.9,17.7,18.7,19.2,20.2,22.7,20.1
IDCJAC0002,009500,1899,22.9,23.2,22.7,20.1,18.7,16.8,16.8,16.9,17.1,19.1,19.7,22.8,19.7
IDCJAC0002,009500,1900,21.8,23.8,20.7,19.1,17.8,16.2,15.7,14.8,17.0,18.6,20.6,22.4,19.0
IDCJAC0002,009500,1901,23.8,23.5,22.3,20.9,19.1,15.8,16.3,16.6,17.4,18.9,21.3,21.4,19.8
IDCJAC0002,009500,1902,21.2,21.8,23.1,22.1,18.9,16.6,15.3,17.2,17.4,17.9,20.2,21.1,19.4
IDCJAC0002,009500,1903,23.1,22.5,21.4,18.2,18.1,16.6,14.6,16.1,16.7,17.3,19.8,21.3,18.8
IDCJAC0002,009500,1904,23.1,22.7,22.9,21.7,17.9,16.7,15.4,16.9,17.1,18.6,20.6,22.4,19.7
IDCJAC0002,009500,1905,22.8,21.6,20.9,21.1,18.2,16.2,15.9,15.0,15.7,17.3,20.2,22.5,18.9
IDCJAC0002,009500,1906,23.9,24.4,22.7,21.8,18.2,16.3,14.7,16.1,15.8,19.4,19.9,22.8,19.7
IDCJAC0002,009500,1907,23.3,24.5,23.0,21.1,20.5,17.8,16.6,17.5,17.7,18.3,20.0,20.9,20.1
IDCJAC0002,009500,1908,23.1,22.2,21.6,21.1,19.4,15.8,17.2,16.6,17.7,19.1,21.0,22.1,19.7
IDCJAC0002,009500,1909,23.7,24.3,21.7,19.6,19.0,17.2,15.6,15.8,19.0,19.1,20.0,24.6,20.0
IDCJAC0002,009500,1910,24.1,25.2,24.3,23.8,18.4,16.3,15.2,17.1,17.9,18.4,20.0,21.7,20.2
IDCJAC0002,009500,1911,25.7,25.4,22.9,21.8,18.7,17.1,15.4,15.8,16.5,17.9,21.5,20.9,20.0
IDCJAC0002,009500,1912,23.9,24.6,22.3,21.8,19.4,17.2,15.8,16.9,16.9,18.2,19.5,22.0,19.9
IDCJAC0002,009500,1913,22.8,22.5,21.0,19.5,19.5,17.4,16.6,15.9,17.9,18.9,21.0,21.5,19.5
IDCJAC0002,009500,1914,22.3,22.7,21.1,19.6,17.6,16.9,15.6,18.3,18.7,21.6,20.8,21.9,19.8
IDCJAC0002,009500,1915,23.8,23.8,22.3,21.6,19.1,17.6,16.5,16.3,16.0,18.5,21.2,22.9,20.0
IDCJAC0002,009500,1916,22.9,23.6,23.3,21.6,20.3,16.0,15.2,16.3,18.6,18.8,20.5,22.3,20.0
IDCJAC0002,009500,1917,23.1,23.2,20.8,21.5,17.5,16.4,16.1,16.1,16.8,18.0,20.9,23.6,19.5
IDCJAC0002,009500,1918,24.1,22.1,22.8,22.7,19.4,17.9,17.8,17.1,19.4,19.6,22.5,23.7,20.8
IDCJAC0002,009500,1919,23.9,23.9,23.8,21.9,19.5,17.1,17.1,16.8,17.8,18.2,21.2,21.9,20.3
IDCJAC0002,009500,1920,25.3,24.2,23.8,22.8,19.0,16.2,15.8,15.8,18.2,20.8,22.5,23.4,20.6
IDCJAC0002,009500,1921,24.4,26.4,25.6,22.8,19.2,18.8,17.7,17.6,17.6,18.7,21.1,22.0,21.0
IDCJAC0002,009500,1922,23.2,23.4,24.1,22.0,18.5,16.3,15.1,17.2,18.0,19.1,21.0,21.4,19.9
IDCJAC0002,009500,1923,22.9,25.4,23.8,21.9,19.0,16.3,16.6,16.9,17.0,18.6,20.8,21.3,20.0
IDCJAC0002,009500,1924,23.5,23.0,21.8,22.3,20.6,17.8,17.7,16.7,16.7,17.7,19.9,22.0,20.0
IDCJAC0002,009500,1925,22.7,22.7,22.3,20.0,18.5,17.1,15.3,15.5,17.8,17.0,21.9,23.0,19.5
IDCJAC0002,009500,1926,23.9,23.3,21.2,19.7,18.5,16.7,15.2,15.0,17.4,18.8,20.3,20.7,19.2
IDCJAC0002,009500,1927,21.3,22.2,19.7,22.5,18.5,15.6,14.9,16.6,17.7,19.0,21.4,22.8,19.4
IDCJAC0002,009500,1928,21.6,22.0,22.2,21.2,18.9,17.0,15.7,17.2,16.7,17.0,20.0,21.6,19.3
IDCJAC0002,009500,1929,21.9,22.5,20.5,20.1,17.7,15.5,15.2,15.2,17.7,18.1,20.1,21.7,18.9
IDCJAC0002,009500,1930,23.5,23.0,22.7,21.8,20.2,18.0,16.9,16.9,17.6,20.4,20.5,22.9,20.4
IDCJAC0002,009500,1931,24.1,22.0,22.7,20.7,16.6,15.1,15.3,16.4,16.8,19.2,19.6,23.2,19.3
IDCJAC0002,009500,1932,23.6,23.6,21.4,21.3,19.4,17.2,15.8,15.3,17.8,18.3,21.3,22.7,19.8
IDCJAC0002,009500,1933,23.9,25.8,22.1,21.0,18.7,17.2,15.7,16.1,18.5,19.8,21.2,23.3,20.3
IDCJAC0002,009500,1934,24.3,25.6,23.6,21.2,21.0,17.0,16.2,17.3,18.0,18.5,19.2,21.7,20.3
IDCJAC0002,009500,1935,23.1,23.3,21.8,21.8,19.4,16.3,15.3,16.8,17.2,17.5,19.7,20.9,19.4
IDCJAC0002,009500,1936,22.4,22.5,22.7,21.7,17.7,16.5,16.2,16.4,18.7,18.5,22.6,22.1,19.8
IDCJAC0002,009500,1937,22.5,24.0,22.0,23.2,18.8,17.5,16.6,16.3,17.7,20.3,20.1,21.0,20.0
