Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,008050,1880,01,31.3,Y
IDCJAC0002,008050,1880,02,26.8,Y
IDCJAC0002,008050,1880,03,26.4,Y
IDCJAC0002,008050,1880,04,23.9,Y
IDCJAC0002,008050,1880,05,21.8,Y
IDCJAC0002,008050,1880,06,18.8,Y
IDCJAC0002,008050,1880,07,18.7,Y
IDCJAC0002,008050,1880,08,19.1,Y
IDCJAC0002,008050,1880,09,21.4,Y
IDCJAC0002,008050,1880,10,20.8,Y
IDCJAC0002,008050,1880,11,23.7,Y
IDCJAC0002,008050,1880,12,25.6,Y
IDCJAC0002,008050,1881,01,26.9,Y
IDCJAC0002,008050,1881,02,28.9,Y
IDCJAC0002,008050,1881,03,29.7,Y
IDCJAC0002,008050,1881,04,25.1,Y
IDCJAC0002,008050,1881,05,21.5,Y
IDCJAC0002,008050,1881,06,18.9,Y
IDCJAC0002,008050,1881,07,20.0,Y
IDCJAC0002,008050,1881,08,20.4,Y
IDCJAC0002,008050,1881,09,21.6,Y
IDCJAC0002,008050,1881,10,22.7,Y
IDCJAC0002,008050,1881,11,24.4,Y
IDCJAC0002,008050,1881,12,28.9,Y
IDCJAC0002,008050,1882,01,26.6,Y
IDCJAC0002,008050,1882,02,28.8,Y
IDCJAC0002,008050,1882,03,25.7,Y
IDCJAC0002,008050,1882,04,23.2,Y
IDCJAC0002,008050,1882,05,20.9,Y
IDCJAC0002,008050,1882,06,18.2,Y
IDCJAC0002,008050,1882,07,17.8,Y
IDCJAC0002,008050,1882,08,18.2,Y
IDCJAC0002,008050,1882,09,19.8,Y
IDCJAC0002,008050,1882,10,22.4,Y
IDCJAC0002,008050,1882,11,23.6,Y
IDCJAC0002,008050,1882,12,26.3,Y
IDCJAC0002,008050,1883,01,26.4,Y
IDCJAC0002,008050,1883,02,31.9,Y
IDCJAC0002,008050,1883,03,25.7,Y
IDCJAC0002,008050,1883,04,26.1,Y
IDCJAC0002,008050,1883,05,22.9,Y
IDCJAC0002,008050,1883,06,20.6,Y
IDCJAC0002,008050,1883,07,18.8,Y
IDCJAC0002,008050,1883,08,18.8,Y
IDCJAC0002,008050,1883,09,20.4,Y
IDCJAC0002,008050,1883,10,22.9,Y
IDCJAC0002,008050,1883,11,24.1,Y
IDCJAC0002,008050,1883,12,25.7,Y
IDCJAC0002,008050,1885,01,27.1,Y
IDCJAC0002,008050,1885,02,28.0,Y
IDCJAC0002,008050,1885,03,28.1,Y
IDCJAC0002,008050,1885,04,25.2,Y
IDCJAC0002,008050,1885,05,21.1,Y
IDCJAC0002,008050,1885,06,20.4,Y
IDCJAC0002,008050,1885,07,19.4,Y
IDCJAC0002,008050,1885,08,19.4,Y
IDCJAC0002,008050,1885,09,20.4,Y
IDCJAC0002,008050,1885,10,23.4,Y
IDCJAC0002,008050,1885,11,29.1,Y
IDCJAC0002,008050,1885,12,31.7,Y
IDCJAC0002,008050,1886,01,32.2,Y
IDCJAC0002,008050,1886,02,34.6,Y
IDCJAC0002,008050,1886,03,30.7,Y
IDCJAC0002,008050,1886,04,28.0,Y
IDCJAC0002,008050,1886,05,26.1,Y
IDCJAC0002,008050,1886,06,22.1,Y
IDCJAC0002,008050,1886,07,22.3,Y
IDCJAC0002,008050,1886,08,20.7,Y
IDCJAC0002,008050,1886,09,22.3,Y
IDCJAC0002,008050,1886,10,23.6,Y
IDCJAC0002,008050,1886,11,26.6,Y
IDCJAC0002,008050,1886,12,32.2,Y
IDCJAC0002,008050,1887,01,30.9,Y
IDCJAC0002,008050,1887,02,33.2,Y
IDCJAC0002,008050,1887,03,32.4,Y
IDCJAC0002,008050,1887,04,27.8,Y
IDCJAC0002,008050,1887,05,24.2,Y
IDCJAC0002,008050,1887,06,21.2,Y
IDCJAC0002,008050,1887,07,19.6,Y
IDCJAC0002,008050,1887,08,19.9,Y
IDCJAC0002,008050,1887,09,20.3,Y
IDCJAC0002,008050,1887,10,23.0,Y
IDCJAC0002,008050,1887,11,27.3,Y
IDCJAC0002,008050,1887,12,28.8,Y
IDCJAC0002,008050,1888,01,29.3,Y
IDCJAC0002,008050,1888,02,28.8,Y
IDCJAC0002,008050,1888,03,33.8,Y
IDCJAC0002,008050,1888,04,25.2,Y
IDCJAC0002,008050,1888,05,22.7,Y
IDCJAC0002,008050,1888,06,21.1,Y
IDCJAC0002,008050,1888,07,19.1,Y
IDCJAC0002,008050,1888,08,19.9,Y
IDCJAC0002,008050,1888,09,21.8,Y
IDCJAC0002,008050,1888,10,24.8,Y
IDCJAC0002,008050,1888,11,26.9,Y
IDCJAC0002,008050,1888,12,28.2,Y
IDCJAC0002,008050,1889,01,29.4,Y
IDCJAC0002,008050,1889,02,27.2,Y
IDCJAC0002,008050,1889,03,30.3,Y
IDCJAC0002,008050,1889,04,27.6,Y
IDCJAC0002,008050,1889,05,22.4,Y
IDCJAC0002,008050,1889,06,19.8,Y
IDCJAC0002,008050,1889,07,20.3,Y
IDCJAC0002,008050,1889,08,20.1,Y
IDCJAC0002,008050,1889,09,21.6,Y
IDCJAC0002,008050,1889,10,22.4,Y
IDCJAC0002,008050,1889,11,23.7,Y
IDCJAC0002,008050,1889,12,26.9,Y
IDCJAC0002,008050,1890,01,29.2,Y
IDCJAC0002,008050,1890,02,27.8,Y
IDCJAC0002,008050,1890,03,28.1,Y
IDCJAC0002,008050,1890,04,28.1,Y
IDCJAC0002,008050,1890,05,22.4,Y
IDCJAC0002,008050,1890,06,19.3,Y
IDCJAC0002,008050,1890,07,18.1,Y
IDCJAC0002,008050,1890,08,19.4,Y
IDCJAC0002,008050,1890,09,20.2,Y
IDCJAC0002,008050,1890,10,21.7,Y
IDCJAC0002,008050,1890,11,26.2,Y
IDCJAC0002,008050,1890,12,28.1,Y
IDCJAC0002,008050,1891,01,27.8,Y
IDCJAC0002,008050,1891,02,28.0,Y
IDCJAC0002,008050,1891,03,28.1,Y
IDCJAC0002,008050,1891,04,25.3,Y
IDCJAC0002,008050,1891,05,20.6,Y
IDCJAC0002,008050,1891,10,23.4,Y
IDCJAC0002,008050,1891,11,27.6,Y
IDCJAC0002,008050,1891,12,24.9,Y
IDCJAC0002,008050,1892,01,28.1,Y
IDCJAC0002,008050,1892,02,32.3,Y
IDCJAC0002,008050,1892,03,27.2,Y
IDCJAC0002,008050,1892,04,26.8,Y
IDCJAC0002,008050,1892,05,23.4,Y
IDCJAC0002,008050,1892,06,19.7,Y
IDCJAC0002,008050,1892,07,19.7,Y
IDCJAC0002,008050,1892,08,19.5,Y
IDCJAC0002,008050,1892,09,21.7,Y
IDCJAC0002,008050,1892,10,21.9,Y
IDCJAC0002,008050,1892,11,24.1,Y
IDCJAC0002,008050,1892,12,26.5,Y
IDCJAC0002,008050,1893,01,30.3,Y
IDCJAC0002,008050,1893,02,29.1,Y
IDCJAC0002,008050,1893,03,28.5,Y
IDCJAC0002,008050,1893,04,24.4,Y
IDCJAC0002,008050,1893,05,21.6,Y
IDCJAC0002,008050,1893,06,19.3,Y
IDCJAC0002,008050,1893,07,19.7,Y
IDCJAC0002,008050,1893,08,20.4,Y
IDCJAC0002,008050,1893,09,21.8,Y
IDCJAC0002,008050,1893,10,24.2,Y
IDCJAC0002,008050,1893,11,25.5,Y
IDCJAC0002,008050,1893,12,26.4,Y
IDCJAC0002,008050,1894,01,32.3,Y
IDCJAC0002,008050,1894,02,32.9,Y
IDCJAC0002,008050,1894,03,29.1,Y
IDCJAC0002,008050,1894,04,26.7,Y
IDCJAC0002,008050,1894,05,23.9,Y
IDCJAC0002,008050,1894,06,21.6,Y
IDCJAC0002,008050,1894,07,20.6,Y
IDCJAC0002,008050,1894,08,20.1,Y
IDCJAC0002,008050,1894,09,21.1,Y
IDCJAC0002,008050,1894,10,23.2,Y
IDCJAC0002,008050,1894,11,26.4,Y
IDCJAC0002,008050,1894,12,28.8,Y
IDCJAC0002,008050,1895,01,26.9,Y
IDCJAC0002,008050,1895,02,27.7,Y
IDCJAC0002,008050,1895,03,31.2,Y
IDCJAC0002,008050,1895,04,26.3,Y
IDCJAC0002,008050,1895,05,22.8,Y
IDCJAC0002,008050,1895,06,21.3,Y
IDCJAC0002,008050,1895,07,20.5,Y
IDCJAC0002,008050,1895,08,21.2,Y
IDCJAC0002,008050,1895,09,21.4,Y
IDCJAC0002,008050,1895,10,24.1,Y
IDCJAC0002,008050,1895,11,28.1,Y
IDCJAC0002,008050,1895,12,26.8,Y
IDCJAC0002,008050,1896,01,30.9,Y
IDCJAC0002,008050,1896,02,30.5,Y
IDCJAC0002,008050,1896,03,26.4,Y
IDCJAC0002,008050,1896,04,24.7,Y
IDCJAC0002,008050,1896,05,23.2,Y
IDCJAC0002,008050,1896,06,21.7,Y
IDCJAC0002,008050,1896,07,18.6,Y
IDCJAC0002,008050,1896,08,20.4,Y
IDCJAC0002,008050,1896,09,22.3,Y
IDCJAC0002,008050,1896,10,22.5,Y
IDCJAC0002,008050,1896,11,23.9,Y
IDCJAC0002,008050,1896,12,25.3,Y
IDCJAC0002,008050,1897,01,28.2,Y
IDCJAC0002,008050,1897,02,27.9,Y
IDCJAC0002,008050,1897,03,26.2,Y
IDCJAC0002,008050,1897,04,26.7,Y
IDCJAC0002,008050,1897,05,23.3,Y
IDCJAC0002,008050,1897,06,21.1,Y
IDCJAC0002,008050,1897,07,22.2,Y
IDCJAC0002,008050,1897,08,21.6,Y
IDCJAC0002,008050,1897,09,21.9,Y
IDCJAC0002,008050,1897,10,22.8,Y
IDCJAC0002,008050,1897,11,26.4,Y
IDCJAC0002,008050,1897,12,30.8,Y
IDCJAC0002,008050,1898,01,27.6,Y
IDCJAC0002,008050,1898,02,30.7,Y
IDCJAC0002,008050,1898,03,31.2,Y
IDCJAC0002,008050,1898,04,26.2,Y
IDCJAC0002,008050,1898,05,24.3,Y
IDCJAC0002,008050,1898,06,19.6,Y
IDCJAC0002,008050,1898,07,21.6,Y
IDCJAC0002,008050,1898,08,20.7,Y
IDCJAC0002,008050,1898,09,22.3,Y
IDCJAC0002,008050,1898,10,22.3,Y
IDCJAC0002,008050,1898,11,25.7,Y
IDCJAC0002,008050,1898,12,27.0,Y
IDCJAC0002,008050,1899,01,29.5,Y
IDCJAC0002,008050,1899,02,27.7,Y
IDCJAC0002,008050,1899,03,28.5,Y
IDCJAC0002,008050,1899,04,24.8,Y
IDCJAC0002,008050,1899,05,23.2,Y
IDCJAC0002,008050,1899,06,20.1,Y
IDCJAC0002,008050,1899,07,20.0,Y
IDCJAC0002,008050,1899,08,20.4,Y
IDCJAC0002,008050,1899,09,21.7,Y
IDCJAC0002,008050,1899,10,22.3,Y
IDCJAC0002,008050,1899,11,23.1,Y
IDCJAC0002,008050,1899,12,27.8,Y
IDCJAC0002,008050,1900,01,30.5,Y
IDCJAC0002,008050,1900,02,30.2,Y
IDCJAC0002,008050,1900,03,26.9,Y
IDCJAC0002,008050,1900,04,24.7,Y
IDCJAC0002,008050,1900,05,22.2,Y
IDCJAC0002,008050,1900,06,20.6,Y
IDCJAC0002,008050,1900,07,19.4,Y
IDCJAC0002,008050,1900,08,19.3,Y
IDCJAC0002,008050,1900,09,21.7,Y
IDCJAC0002,008050,1900,10,23.7,Y
IDCJAC0002,008050,1900,11,24.6,Y
IDCJAC0002,008050,1900,12,26.2,Y
IDCJAC0002,008050,1901,01,27.2,Y
IDCJAC0002,008050,1901,02,29.9,Y
IDCJAC0002,008050,1901,03,30.3,Y
IDCJAC0002,008050,1901,04,26.7,Y
IDCJAC0002,008050,1901,05,23.2,Y
IDCJAC0002,008050,1901,06,20.9,Y
IDCJAC0002,008050,1901,07,20.2,Y
IDCJAC0002,008050,1901,08,20.3,Y
IDCJAC0002,008050,1901,09,21.4,Y
IDCJAC0002,008050,1901,10,22.8,Y
IDCJAC0002,008050,1901,11,24.9,Y
IDCJAC0002,008050,1901,12,24.8,Y
IDCJAC0002,008050,1902,01,26.6,Y
IDCJAC0002,008050,1902,02,26.3,Y
IDCJAC0002,008050,1902,03,30.2,Y
IDCJAC0002,008050,1902,04,25.6,Y
