Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,009025,1886,01,0.0,Y
IDCJAC0001,009025,1886,02,10.4,Y
IDCJAC0001,009025,1886,03,0.0,Y
IDCJAC0001,009025,1886,04,11.4,Y
IDCJAC0001,009025,1886,05,66.0,Y
IDCJAC0001,009025,1886,06,88.9,Y
IDCJAC0001,009025,1886,07,149.6,Y
IDCJAC0001,009025,1886,08,174.0,Y
IDCJAC0001,009025,1886,09,143.5,Y
IDCJAC0001,009025,1886,10,15.0,Y
IDCJAC0001,009025,1886,11,23.1,Y
IDCJAC0001,009025,1886,12,0.0,Y
IDCJAC0001,009025,1887,01,2.5,Y
IDCJAC0001,009025,1887,02,13.0,Y
IDCJAC0001,009025,1887,03,21.8,Y
IDCJAC0001,009025,1887,04,59.4,Y
IDCJAC0001,009025,1887,05,77.5,Y
IDCJAC0001,009025,1887,06,138.9,Y
IDCJAC0001,009025,1887,07,221.5,Y
IDCJAC0001,009025,1887,08,147.1,Y
IDCJAC0001,009025,1887,09,88.1,Y
IDCJAC0001,009025,1887,10,37.6,Y
IDCJAC0001,009025,1887,11,32.8,Y
IDCJAC0001,009025,1887,12,9.1,Y
IDCJAC0001,009025,1914,06,112.1,Y
IDCJAC0001,009025,1914,07,117.3,Y
IDCJAC0001,009025,1914,08,53.2,Y
IDCJAC0001,009025,1914,09,23.5,Y
IDCJAC0001,009025,1914,10,28.7,Y
IDCJAC0001,009025,1914,11,31.8,Y
IDCJAC0001,009025,1914,12,33.8,Y
IDCJAC0001,009025,1915,01,75.3,Y
IDCJAC0001,009025,1915,02,82.8,Y
IDCJAC0001,009025,1915,03,36.0,Y
IDCJAC0001,009025,1915,04,32.1,Y
IDCJAC0001,009025,1915,05,126.5,Y
IDCJAC0001,009025,1915,06,203.5,Y
IDCJAC0001,009025,1915,07,237.7,Y
IDCJAC0001,009025,1915,08,166.5,Y
IDCJAC0001,009025,1915,09,130.6,Y
IDCJAC0001,009025,1915,10,83.6,Y
IDCJAC0001,009025,1915,11,7.6,Y
IDCJAC0001,009025,1915,12,1.8,Y
IDCJAC0001,009025,1916,01,34.9,Y
IDCJAC0001,009025,1916,02,43.5,Y
IDCJAC0001,009025,1916,03,9.9,Y
IDCJAC0001,009025,1916,04,1.8,Y
IDCJAC0001,009025,1916,05,96.1,Y
IDCJAC0001,009025,1916,06,208.1,Y
IDCJAC0001,009025,1916,07,175.2,Y
IDCJAC0001,009025,1916,08,175.2,Y
IDCJAC0001,009025,1916,09,2.8,Y
IDCJAC0001,009025,1916,10,55.6,Y
IDCJAC0001,009025,1916,11,69.4,Y
IDCJAC0001,009025,1916,12,0.0,Y
IDCJAC0001,009025,1917,01,0.0,Y
IDCJAC0001,009025,1917,02,18.8,Y
IDCJAC0001,009025,1917,03,6.6,Y
IDCJAC0001,009025,1917,04,20.2,Y
IDCJAC0001,009025,1917,05,115.3,Y
IDCJAC0001,009025,1917,06,292.5,Y
IDCJAC0001,009025,1917,07,277.2,Y
IDCJAC0001,009025,1917,08,113.5,Y
IDCJAC0001,009025,1917,09,201.9,Y
IDCJAC0001,009025,1917,10,76.2,Y
IDCJAC0001,009025,1917,11,0.0,Y
IDCJAC0001,009025,1917,12,46.7,Y
IDCJAC0001,009025,1918,01,11.4,Y
IDCJAC0001,009025,1918,02,23.4,Y
IDCJAC0001,009025,1918,03,38.1,Y
IDCJAC0001,009025,1918,04,54.0,Y
IDCJAC0001,009025,1918,05,133.4,Y
IDCJAC0001,009025,1918,06,219.0,Y
IDCJAC0001,009025,1918,07,69.3,Y
IDCJAC0001,009025,1918,08,137.2,Y
IDCJAC0001,009025,1918,09,77.7,Y
IDCJAC0001,009025,1918,10,78.6,Y
IDCJAC0001,009025,1918,11,6.6,Y
IDCJAC0001,009025,1918,12,1.1,Y
IDCJAC0001,009025,1919,01,5.3,Y
IDCJAC0001,009025,1919,02,16.1,Y
IDCJAC0001,009025,1919,03,5.9,Y
IDCJAC0001,009025,1919,04,48.3,Y
IDCJAC0001,009025,1919,05,45.8,Y
IDCJAC0001,009025,1919,06,121.1,Y
IDCJAC0001,009025,1919,07,151.9,Y
IDCJAC0001,009025,1919,08,159.8,Y
IDCJAC0001,009025,1919,09,33.1,Y
IDCJAC0001,009025,1919,10,53.0,Y
IDCJAC0001,009025,1919,11,40.2,Y
IDCJAC0001,009025,1919,12,22.9,Y
IDCJAC0001,009025,1920,01,0.5,Y
IDCJAC0001,009025,1920,02,0.0,Y
IDCJAC0001,009025,1921,01,2.3,Y
IDCJAC0001,009025,1921,02,7.4,Y
IDCJAC0001,009025,1921,03,22.5,Y
IDCJAC0001,009025,1921,04,11.7,Y
IDCJAC0001,009025,1921,05,206.6,Y
IDCJAC0001,009025,1921,06,168.1,Y
IDCJAC0001,009025,1921,07,183.5,Y
IDCJAC0001,009025,1921,08,70.8,Y
IDCJAC0001,009025,1921,09,110.6,Y
IDCJAC0001,009025,1921,10,74.4,Y
IDCJAC0001,009025,1921,11,25.8,Y
IDCJAC0001,009025,1921,12,4.1,Y
IDCJAC0001,009025,1922,01,2.5,Y
IDCJAC0001,009025,1922,02,6.8,Y
IDCJAC0001,009025,1922,03,0.0,Y
IDCJAC0001,009025,1922,04,47.2,Y
IDCJAC0001,009025,1922,05,96.6,Y
IDCJAC0001,009025,1922,06,69.5,Y
IDCJAC0001,009025,1922,07,181.2,Y
IDCJAC0001,009025,1922,08,119.2,Y
IDCJAC0001,009025,1924,04,0.0,Y
IDCJAC0001,009025,1924,05,0.0,Y
IDCJAC0001,009025,1924,06,106.0,Y
IDCJAC0001,009025,1924,07,99.4,Y
IDCJAC0001,009025,1924,08,187.8,Y
IDCJAC0001,009025,1924,09,53.5,Y
IDCJAC0001,009025,1924,10,151.9,Y
IDCJAC0001,009025,1924,11,43.5,Y
IDCJAC0001,009025,1924,12,0.0,Y
IDCJAC0001,009025,1925,01,12.0,Y
IDCJAC0001,009025,1925,02,1.8,Y
IDCJAC0001,009025,1925,03,16.3,Y
IDCJAC0001,009025,1925,04,3.6,Y
IDCJAC0001,009025,1925,05,142.8,Y
IDCJAC0001,009025,1925,06,171.6,Y
IDCJAC0001,009025,1925,07,180.7,Y
IDCJAC0001,009025,1925,08,54.1,Y
IDCJAC0001,009025,1925,09,84.8,Y
IDCJAC0001,009025,1925,10,56.1,Y
IDCJAC0001,009025,1925,11,6.1,Y
IDCJAC0001,009025,1925,12,10.9,Y
IDCJAC0001,009025,1926,01,0.0,Y
IDCJAC0001,009025,1926,02,14.3,Y
IDCJAC0001,009025,1926,03,30.7,Y
IDCJAC0001,009025,1926,04,217.7,Y
IDCJAC0001,009025,1926,05,146.5,Y
IDCJAC0001,009025,1926,06,150.3,Y
IDCJAC0001,009025,1926,07,316.7,Y
IDCJAC0001,009025,1926,08,144.6,Y
IDCJAC0001,009025,1926,09,82.9,Y
IDCJAC0001,009025,1926,10,75.2,Y
IDCJAC0001,009025,1926,11,38.5,Y
IDCJAC0001,009025,1926,12,0.0,Y
IDCJAC0001,009025,1927,01,19.8,Y
IDCJAC0001,009025,1927,02,0.0,Y
IDCJAC0001,009025,1927,03,28.0,Y
IDCJAC0001,009025,1927,04,19.3,Y
IDCJAC0001,009025,1927,05,73.0,Y
IDCJAC0001,009025,1927,06,195.0,Y
IDCJAC0001,009025,1927,07,177.5,Y
IDCJAC0001,009025,1927,08,156.4,Y
IDCJAC0001,009025,1927,09,112.8,Y
IDCJAC0001,009025,1927,10,61.7,Y
IDCJAC0001,009025,1927,11,2.8,Y
IDCJAC0001,009025,1927,12,1.0,Y
IDCJAC0001,009025,1928,01,4.3,Y
IDCJAC0001,009025,1928,02,0.0,Y
IDCJAC0001,009025,1928,03,2.8,Y
IDCJAC0001,009025,1928,04,5.0,Y
IDCJAC0001,009025,1928,05,101.4,Y
IDCJAC0001,009025,1928,06,121.1,Y
IDCJAC0001,009025,1928,07,261.5,Y
IDCJAC0001,009025,1928,08,231.5,Y
IDCJAC0001,009025,1928,09,126.2,Y
IDCJAC0001,009025,1928,10,33.3,Y
IDCJAC0001,009025,1928,11,5.6,Y
IDCJAC0001,009025,1928,12,14.9,Y
IDCJAC0001,009025,1929,01,7.4,Y
IDCJAC0001,009025,1929,02,16.5,Y
IDCJAC0001,009025,1929,03,0.3,Y
IDCJAC0001,009025,1929,04,21.2,Y
IDCJAC0001,009025,1929,05,203.5,Y
IDCJAC0001,009025,1929,06,208.1,Y
IDCJAC0001,009025,1929,07,116.6,Y
IDCJAC0001,009025,1929,08,81.3,Y
IDCJAC0001,009025,1929,09,55.3,Y
IDCJAC0001,009025,1929,10,40.8,Y
IDCJAC0001,009025,1929,11,22.1,Y
IDCJAC0001,009025,1929,12,3.0,Y
IDCJAC0001,009025,1930,01,0.0,Y
IDCJAC0001,009025,1930,02,0.0,Y
IDCJAC0001,009025,1930,03,4.6,Y
IDCJAC0001,009025,1930,04,59.7,Y
IDCJAC0001,009025,1930,05,44.2,Y
IDCJAC0001,009025,1930,06,246.6,Y
IDCJAC0001,009025,1930,07,249.0,Y
IDCJAC0001,009025,1930,08,115.2,Y
IDCJAC0001,009025,1930,09,89.7,Y
IDCJAC0001,009025,1930,10,40.8,Y
IDCJAC0001,009025,1930,11,16.7,Y
